YEAR,MAKE,MODEL,Hybrid/Non-Hybrid,STANDARD TYPE,EPA RATING (CITY),Vehicle Count,TOTAL ACTUAL MILES,TOTAL ACTUAL FUEL,EPA EXPECTED FUEL,ACTUAL FUEL ECONOMY Geotab,PERCENT % DIFFERENCE ACTUAL TO EPA,ESTIMATED FUEL COSTS PER GALLON,FUEL COSTS PER MILE
2018,FORD,F150,Non-Hybrid,PICKUP,16,19,121436,8983,7589.75,13.52,-0.16,"22,457.50",0.18
2018,FORD,FUSION HYBRID,Hybrid,SEDAN,43,5,11207,289,260.63,38.78,-0.1,722.5,0.06
2018,TOYOTA,RAV4 HYBRID,Hybrid,SUV,34,82,474394,10956,13952.76,43.3,0.27,"27,390.00",0.06
2018,CHEVROLET,SUBURBAN,Non-Hybrid,SUV,16,10,131922,7877,8245.13,16.75,0.05,"19,692.50",0.15
2018,CHEVROLET,TAHOE HYBRID,Non-Hybrid,SUV,16,10,205588,14697,12849.25,13.99,-0.13,"36,742.50",0.18
2018,FORD,TAURUS NGPI,Non-Hybrid,SEDAN,17,7,144627,7453,8507.47,19.41,0.14,"18,632.50",0.13
2018,FORD,TRANSIT VAN,Non-Hybrid,VAN,14,16,119367,9212,8526.21,12.96,-0.07,"23,030.00",0.19
2019,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,22,10316,885,793.54,11.66,-0.1,"2,212.50",0.21
2019,FORD,F150,Non-Hybrid,PICKUP,16,27,56410,5419,3525.63,10.41,-0.35,"13,547.50",0.24
2019,FORD,F250,Non-Hybrid,PICKUP,12,30,84521,5449,7043.42,15.51,0.29,"13,622.50",0.16
2019,FREIGHTLINER,SPRINTER 3500,Non-Hybrid,VAN,15,38,3277,296,218.47,11.07,-0.26,740,0.23
2019,FORD,TRANSIT VAN,Non-Hybrid,VAN,20,7,29068,2331,1453.4,12.47,-0.38,"5,827.50",0.2
