Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2020,Guadalupe,TX,Passenger,2,0,2,54,56,3.57
January 31 2020,Clallam,WA,Passenger,216,164,380,51797,52177,0.73
December 31 2019,Asotin,WA,Truck,0,0,0,6930,6930,0.00
December 31 2019,Guilford,NC,Passenger,1,0,1,30,31,3.23
January 31 2020,Clay,FL,Passenger,0,1,1,86,87,1.15
February 29 2020,Kitsap,WA,Passenger,1357,694,2051,185419,187470,1.09
February 29 2020,Kittitas,WA,Truck,0,0,0,15065,15065,0.00
December 31 2019,Harris,TX,Passenger,1,0,1,224,225,0.44
December 31 2019,Montgomery,MD,Passenger,0,4,4,266,270,1.48
February 29 2020,Kootenai,ID,Passenger,1,1,2,194,196,1.02
December 31 2019,Honolulu,HI,Passenger,3,0,3,448,451,0.67
January 31 2020,Dupage,IL,Passenger,2,0,2,55,57,3.51
December 31 2019,Nassau,NY,Passenger,2,0,2,34,36,5.56
January 31 2020,Fairfax,VA,Passenger,5,3,8,738,746,1.07
February 29 2020,Liberty,GA,Passenger,1,0,1,121,122,0.82
December 31 2019,Otero,NM,Passenger,0,1,1,38,39,2.56
December 31 2019,Caddo,LA,Passenger,1,0,1,17,18,5.56
December 31 2019,Camden,GA,Passenger,1,1,2,157,159,1.26
December 31 2019,Pacific,WA,Truck,0,0,0,7909,7909,0.00
December 31 2019,Palm Beach,FL,Passenger,0,1,1,70,71,1.41
December 31 2019,Cascade,MT,Passenger,0,1,1,58,59,1.69
January 31 2020,Douglas,WA,Truck,0,0,0,12641,12641,0.00
January 31 2020,Grant,WA,Passenger,61,76,137,67343,67480,0.20
December 31 2019,Pima,AZ,Passenger,2,1,3,333,336,0.89
December 31 2019,Chaves,NM,Passenger,1,0,1,9,10,10.00
January 31 2020,Grays Harbor,WA,Passenger,117,110,227,49319,49546,0.46
January 31 2020,King,WA,Passenger,23738,7973,31711,1419127,1450838,2.19
February 29 2020,Manassas City,VA,Passenger,0,1,1,4,5,20.00
January 31 2020,Guilford,NC,Passenger,1,0,1,30,31,3.23
December 31 2019,Chesapeake City,VA,Passenger,0,2,2,424,426,0.47
December 31 2019,Polk,FL,Passenger,1,0,1,65,66,1.52
December 31 2019,Powhatan,VA,Passenger,1,0,1,0,1,100.00
December 31 2019,Clark,WA,Passenger,1958,1089,3047,323610,326657,0.93
January 31 2020,Fulton,GA,Passenger,1,2,3,100,103,2.91
January 31 2020,Hennepin,MN,Passenger,2,0,2,91,93,2.15
February 29 2020,Mecklenburg,NC,Passenger,1,0,1,72,73,1.37
January 31 2020,Greene,MO,Passenger,0,1,1,19,20,5.00
December 31 2019,Liberty,GA,Passenger,1,0,1,123,124,0.81
January 31 2020,Lewis,WA,Passenger,118,112,230,60788,61018,0.38
December 31 2019,Columbia,WA,Passenger,3,3,6,2505,2511,0.24
December 31 2019,Fairbanks North Star,AK,Passenger,0,1,1,99,100,1.00
January 31 2020,Jefferson,WA,Truck,0,0,0,9875,9875,0.00
January 31 2020,Juneau,AK,Passenger,0,2,2,25,27,7.41
December 31 2019,San Bernardino,CA,Passenger,0,1,1,444,445,0.22
December 31 2019,San Francisco,CA,Passenger,2,1,3,88,91,3.30
December 31 2019,Ferry,WA,Passenger,5,2,7,4568,4575,0.15
December 31 2019,Mason,WA,Passenger,166,142,308,48644,48952,0.63
December 31 2019,Santa Cruz,CA,Passenger,1,0,1,34,35,2.86
January 31 2020,Klickitat,WA,Truck,0,0,0,8547,8547,0.00
December 31 2019,Douglas,NE,Passenger,0,1,1,51,52,1.92
February 29 2020,Okanogan,WA,Passenger,4,8,12,6065,6077,0.20
December 31 2019,Douglas,OR,Passenger,1,0,1,44,45,2.22
January 31 2020,Maricopa,AZ,Passenger,7,5,12,1238,1250,0.96
December 31 2019,Franklin,WA,Truck,0,0,0,20398,20398,0.00
February 29 2020,Ozaukee,WI,Passenger,0,1,1,3,4,25.00
January 31 2020,Island,WA,Truck,1,0,1,21864,21865,0.00
December 31 2019,Skamania,WA,Passenger,29,20,49,8999,9048,0.54
December 31 2019,Fresno,CA,Passenger,1,0,1,176,177,0.56
January 31 2020,Mason,WA,Truck,0,0,0,21173,21173,0.00
February 29 2020,Palm Beach,FL,Passenger,0,1,1,68,69,1.45
December 31 2019,Spokane,WA,Passenger,683,505,1188,322339,323527,0.37
December 31 2019,Montgomery,AL,Passenger,0,1,1,37,38,2.63
February 29 2020,Pinal,AZ,Passenger,1,0,1,159,160,0.62
December 31 2019,Grays Harbor,WA,Truck,0,0,0,21270,21270,0.00
January 31 2020,Kent,MI,Passenger,0,1,1,21,22,4.55
December 31 2019,Guadalupe,TX,Passenger,2,0,2,53,55,3.64
December 31 2019,Norfolk City,VA,Passenger,2,1,3,364,367,0.82
January 31 2020,Klickitat,WA,Passenger,54,40,94,16048,16142,0.58
February 29 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
December 31 2019,Vigo,IN,Passenger,1,0,1,5,6,16.67
December 31 2019,Harrison,MS,Passenger,1,0,1,61,62,1.61
December 31 2019,Okanogan,WA,Truck,0,0,0,4122,4122,0.00
December 31 2019,Walla Walla,WA,Passenger,64,61,125,37069,37194,0.34
January 31 2020,Montgomery,MD,Passenger,0,4,4,262,266,1.50
December 31 2019,Walla Walla,WA,Truck,0,0,0,14094,14094,0.00
January 31 2020,Norfolk City,VA,Passenger,2,1,3,369,372,0.81
